Food,FOODON ID,Preferred Name,FoodEx_IRI,foodex_embed_avail
Aduki bean,http://purl.obolibrary.org/obo/FOODON_03541070,azuki beans (dry) (efsa foodex2),A013E,True
Agave,http://purl.obolibrary.org/obo/FOODON_03541002,agave leaves (efsa foodex2),A0CXN,True
Alfalfa sprout,http://purl.obolibrary.org/obo/FOODON_03540502,alfalfa sprouts (efsa foodex2),A00SH,True
Allspice,http://purl.obolibrary.org/obo/FOODON_03541370,allspice fruit (efsa foodex2),A018R,True
Almond,http://purl.obolibrary.org/obo/FOODON_03541120,almonds (efsa foodex2),A014D,True
Almond milk,http://purl.obolibrary.org/obo/FOODON_03543833,almond drink (efsa foodex2),A03TK,True
Anchovy,http://purl.obolibrary.org/obo/FOODON_03542405,anchovies (efsa foodex2),A02DD,True
Anise seed,http://purl.obolibrary.org/obo/FOODON_03541292,anise seed (efsa foodex2),A017Y,True
Arrowhead,http://purl.obolibrary.org/obo/FOODON_03540756,arrowhead (efsa foodex2),A00RK,True
Asparagus,http://purl.obolibrary.org/obo/FOODON_03540539,asparagus (efsa foodex2),A00RT,True
Aubergine,http://purl.obolibrary.org/obo/FOODON_03540658,aubergines (efsa foodex2),A00JD,True
Avocado,http://purl.obolibrary.org/obo/FOODON_03541733,avocados (efsa foodex2),A01LB,True
Babaco,http://purl.obolibrary.org/obo/FOODON_03541664,babacos (efsa foodex2),A01LX,True
Bacon,http://purl.obolibrary.org/obo/FOODON_03542112,bacon (efsa foodex2),A022X,True
Baking powder,http://purl.obolibrary.org/obo/FOODON_03544446,preparations for raising and flavouring home-made bakery (efsa foodex2),A048Q,True
Bamboo shoots,http://purl.obolibrary.org/obo/FOODON_03540560,bamboo shoots (efsa foodex2),A00RV,True
Banana,http://purl.obolibrary.org/obo/FOODON_03541736,common banana (efsa foodex2),A01LC,True
Barbeque sauce,http://purl.obolibrary.org/obo/FOODON_03544196,barbeque flavour (efsa foodex2),A06KM,True
Basil,http://purl.obolibrary.org/obo/FOODON_03540878,basil (efsa foodex2),A00VV,True
Basmati rice,http://purl.obolibrary.org/obo/FOODON_03540040,"rice grain, long-grain (efsa foodex2)",A001F,True
Bass,http://purl.obolibrary.org/obo/FOODON_03542366,sea bass (efsa foodex2),A029T,True
Bay leaf,http://purl.obolibrary.org/obo/FOODON_03541264,"bay leaves, dry (efsa foodex2)",A016Z,True
Bean,http://purl.obolibrary.org/obo/FOODON_03541023,beans (fresh seeds without pods) and similar- (efsa foodex2),A011Z,True
Beansprouts,http://purl.obolibrary.org/obo/FOODON_03540515,common bean sprouts (efsa foodex2),A00SK,True
Beef,http://purl.obolibrary.org/obo/FOODON_03541916,"cow, ox or bull fresh meat (efsa foodex2)",A01QX,True
Beef stock,http://purl.obolibrary.org/obo/FOODON_03544075,"stock cube or granulate, beef (efsa foodex2)",A043H,True
Beef stock cube,http://purl.obolibrary.org/obo/FOODON_03544075,"stock cube or granulate, beef (efsa foodex2)",A043H,True
Beer,http://purl.obolibrary.org/obo/FOODON_03543332,beer (efsa foodex2),A03MB,True
Betel leaves,http://purl.obolibrary.org/obo/FOODON_03540905,wild betel leaves (efsa foodex2),A0DGC,True
Betel nut,http://purl.obolibrary.org/obo/FOODON_03541140,areca nuts (efsa foodex2),A0DYC,True
Black gram,http://purl.obolibrary.org/obo/FOODON_03541111,black gram (dry seeds) (efsa foodex2),A013C,True
Black Pepper,http://purl.obolibrary.org/obo/FOODON_03541389,black pepper (efsa foodex2),A019C,True
Blackberries,http://purl.obolibrary.org/obo/FOODON_03541543,blackberries (efsa foodex2),A01EE,True
Blackcurrant,http://purl.obolibrary.org/obo/FOODON_03541608,blackcurrants (efsa foodex2),A01FN,True
Blue Cheese,http://purl.obolibrary.org/obo/FOODON_03542908,firm-ripened blue mould-veined cheese (efsa foodex2),A030B,True
Blueberries,http://purl.obolibrary.org/obo/FOODON_03541564,blueberries (efsa foodex2),A01EY,True
Borlotti bean,http://purl.obolibrary.org/obo/FOODON_03541027,borlotti or other common beans (without pods) (efsa foodex2),A012B,True
Bran,http://purl.obolibrary.org/obo/FOODON_03540108,cereal bran (efsa foodex2),A002C,True
Brawn,http://purl.obolibrary.org/obo/FOODON_03542179,head cheese (efsa foodex2),A025Z,True
Brazil nut,http://purl.obolibrary.org/obo/FOODON_03541129,brazil nuts (efsa foodex2),A014G,True
Bread,http://purl.obolibrary.org/obo/FOODON_03540116,bread and similar products (efsa foodex2),A004V,True
Breadfruit,http://purl.obolibrary.org/obo/FOODON_03541779,breadfruits (efsa foodex2),A01LQ,True
Bream,http://purl.obolibrary.org/obo/FOODON_03542368,sea bream (efsa foodex2),A029V,True
Brie,http://purl.obolibrary.org/obo/FOODON_03542770,"cheese, brie (efsa foodex2)",A02RV,True
Broad bean,http://purl.obolibrary.org/obo/FOODON_03541072,broad beans (dry) (efsa foodex2),A013H,True
Broccoli,http://purl.obolibrary.org/obo/FOODON_03540525,broccoli (efsa foodex2),A00FN,True
Brown rice,http://purl.obolibrary.org/obo/FOODON_03540039,"rice grain, brown (efsa foodex2)",A001E,True
Brown sauce,http://purl.obolibrary.org/obo/FOODON_03544115,british islands brown sauce (efsa foodex2),A045C,True
Brussels Sprouts,http://purl.obolibrary.org/obo/FOODON_03540472,brussels sprouts (efsa foodex2),A00FV,True
Buckwheat,http://purl.obolibrary.org/obo/FOODON_03540009,buckwheat (efsa foodex2),A000N,True
Buckwheat flour,http://purl.obolibrary.org/obo/FOODON_03540071,buckwheat flour (efsa foodex2),A002G,True
Bulgur wheat,http://purl.obolibrary.org/obo/FOODON_03540103,bulgur (efsa foodex2),A004G,True
Butter,http://purl.obolibrary.org/obo/FOODON_03543148,butter (efsa foodex2),A039C,True
Butter bean,http://purl.obolibrary.org/obo/FOODON_03541036,lima beans (without pods) (efsa foodex2),A012D,True
Buttermilk,http://purl.obolibrary.org/obo/FOODON_03542688,buttermilk (efsa foodex2),A02MV,True
Butternut squash,http://purl.obolibrary.org/obo/FOODON_03540698,butternut squashes (efsa foodex2),A0DLT,True
Cabbage,http://purl.obolibrary.org/obo/FOODON_03540474,head cabbages (efsa foodex2),A00FY,True
Caerphilly,http://purl.obolibrary.org/obo/FOODON_03542803,"cheese, caerphilly (efsa foodex2)",A02TH,True
Camembert,http://purl.obolibrary.org/obo/FOODON_03542771,"cheese, camembert (efsa foodex2)",A02RX,True
Cannellini bean,http://purl.obolibrary.org/obo/FOODON_03541027,borlotti or other common beans (without pods) (efsa foodex2),A012B,True
Caraway seeds,http://purl.obolibrary.org/obo/FOODON_03541293,black caraway seed and similar (efsa foodex2),A0CZE,True
Cardamon,http://purl.obolibrary.org/obo/FOODON_03541379,cardamom fruit and similar (efsa foodex2),A0CGT,True
Carp,http://purl.obolibrary.org/obo/FOODON_03542220,"carp, common (efsa foodex2)",A027D,True
Carrot,http://purl.obolibrary.org/obo/FOODON_03540712,carrots (efsa foodex2),A00QH,True
Cashew cream,http://purl.obolibrary.org/obo/FOODON_03543839,imitation cream (efsa foodex2),A03TR,True
Cashew nut,http://purl.obolibrary.org/obo/FOODON_03541131,cashew nuts (efsa foodex2),A014H,True
Cauliflower,http://purl.obolibrary.org/obo/FOODON_03540531,cauliflowers (efsa foodex2),A00FR,True
Caviar,http://purl.obolibrary.org/obo/FOODON_03542469,fish roe (efsa foodex2),A02EM,True
Celeriac,http://purl.obolibrary.org/obo/FOODON_03540716,celeriacs (efsa foodex2),A00QJ,True
Celery,http://purl.obolibrary.org/obo/FOODON_03540833,celery leaves (efsa foodex2),A00XA,True
Chapati flour,http://purl.obolibrary.org/obo/FOODON_03540094,chapatti flour (efsa foodex2),A004D,True
Chard,http://purl.obolibrary.org/obo/FOODON_03540446,chards (efsa foodex2),A00MX,True
Cheddar,http://purl.obolibrary.org/obo/FOODON_03542872,"cheese, cheddar (efsa foodex2)",A02YK,True
Cheese,http://purl.obolibrary.org/obo/FOODON_03542731,cheese (efsa foodex2),A02QE,True
Cherry,http://purl.obolibrary.org/obo/FOODON_03541495,cherries and similar (efsa foodex2),A01GG,True
Cherry tomato,http://purl.obolibrary.org/obo/FOODON_03540639,cherry tomatoes (efsa foodex2),A00HY,True
Chervil,http://purl.obolibrary.org/obo/FOODON_03540827,chervil (efsa foodex2),A00XB,True
Chestnut,http://purl.obolibrary.org/obo/FOODON_03541133,chestnuts (efsa foodex2),A014J,True
Chicken,http://purl.obolibrary.org/obo/FOODON_03541965,chicken fresh meat (efsa foodex2),A01SP,True
Chicken stock,http://purl.obolibrary.org/obo/FOODON_03544074,"stock cubes or granulate, chicken (efsa foodex2)",A043G,True
Chicken stock cube,http://purl.obolibrary.org/obo/FOODON_03544074,"stock cubes or granulate, chicken (efsa foodex2)",A043G,True
Chickpea,http://purl.obolibrary.org/obo/FOODON_03541099,chickpeas (dry) (efsa foodex2),A013M,True
Chicory,http://purl.obolibrary.org/obo/FOODON_03543421,chicory coffee ingredient (efsa foodex2),A03GV,True
Chili garlic sauce,http://purl.obolibrary.org/obo/FOODON_03544121,aioli or garlic sauce (efsa foodex2),A045A,True
Chives,http://purl.obolibrary.org/obo/FOODON_03540829,chives (efsa foodex2),A00XD,True
Cho Cho,http://purl.obolibrary.org/obo/FOODON_03540680,chayote fruits (efsa foodex2),A00JZ,True
Chocolate Spread,http://purl.obolibrary.org/obo/FOODON_03543044,chocolate spread (efsa foodex2),A0C6P,True
Chorizo,http://purl.obolibrary.org/obo/FOODON_03542162,chorizo and similar (efsa foodex2),A025C,True
Chutney,http://purl.obolibrary.org/obo/FOODON_03544133,chutneys (efsa foodex2),A045Q,True
Cider,http://purl.obolibrary.org/obo/FOODON_03543357,cider (efsa foodex2),A03ND,True
Cinnamon,http://purl.obolibrary.org/obo/FOODON_03541342,cinnamon bark (efsa foodex2),A019V,True
Cloves,http://purl.obolibrary.org/obo/FOODON_03541323,cloves buds (efsa foodex2),A01AL,True
Cluster bean,http://purl.obolibrary.org/obo/FOODON_03541079,guar beans (dry) (efsa foodex2),A0DCL,True
Cockles,http://purl.obolibrary.org/obo/FOODON_03542552,cockles (efsa foodex2),A02HE,True
Cocoa,http://purl.obolibrary.org/obo/FOODON_03543428,cocoa ingredients (efsa foodex2),A03HE,False
Coconut,http://purl.obolibrary.org/obo/FOODON_03541139,coconuts (efsa foodex2),A014K,True
Coconut cream,http://purl.obolibrary.org/obo/FOODON_03543839,imitation cream (efsa foodex2),A03TR,True
Coconut milk,http://purl.obolibrary.org/obo/FOODON_03543258,coconut milk (cocos nucifera) liquid (efsa foodex2),A01BK,True
Coconut oil,http://purl.obolibrary.org/obo/FOODON_03543113,coconut oil/fat (efsa foodex2),A037M,True
Cod,http://purl.obolibrary.org/obo/FOODON_03542346,cod (efsa foodex2),A02BV,True
Coffee,http://purl.obolibrary.org/obo/FOODON_03543404,coffee ingredients (efsa foodex2),A03GJ,False
Cola,http://purl.obolibrary.org/obo/FOODON_03543317,cola-type drinks (efsa foodex2),A03FQ,True
Condensed milk,http://purl.obolibrary.org/obo/FOODON_03542722,condensed milk (sometimes with added sugars) (efsa foodex2),A02PG,True
Coriander seed,http://purl.obolibrary.org/obo/FOODON_03541301,coriander seed (efsa foodex2),A018D,True
Cottage cheese,http://purl.obolibrary.org/obo/FOODON_03542733,cottage cheese (efsa foodex2),A02QG,True
Courgette,http://purl.obolibrary.org/obo/FOODON_03540677,courgettes (efsa foodex2),A00JR,True
Couscous,http://purl.obolibrary.org/obo/FOODON_03540196,couscous (efsa foodex2),A008C,True
Cream,http://purl.obolibrary.org/obo/FOODON_03542681,"cream, plain (efsa foodex2)",A02ML,True
Cream cheese,http://purl.obolibrary.org/obo/FOODON_03542750,cream cheese (efsa foodex2),A02QZ,True
Crème fraiche,http://purl.obolibrary.org/obo/FOODON_03542717,créme fraiche and other mild variants of sour cream (efsa foodex2),A02NC,True
Curacao,http://purl.obolibrary.org/obo/FOODON_03543392,fruit liqueur (efsa foodex2),A03NT,True
Curry leaves,http://purl.obolibrary.org/obo/FOODON_03540902,curry leaves (efsa foodex2),A00XG,True
Curry sauce,http://purl.obolibrary.org/obo/FOODON_03544122,curry sauce (efsa foodex2),A045D,True
Dark chocolate,http://purl.obolibrary.org/obo/FOODON_03543035,bitter chocolate (efsa foodex2),A034G,True
Derby cheese,http://purl.obolibrary.org/obo/FOODON_03542811,"cheese, derby (efsa foodex2)",A02TR,True
Double cream,http://purl.obolibrary.org/obo/FOODON_03542680,cream and cream products (efsa foodex2),A02MK,True
Double Gloucester,http://purl.obolibrary.org/obo/FOODON_03542812,"cheese, double gloucester (efsa foodex2)",A02TS,True
Dried apricot,http://purl.obolibrary.org/obo/FOODON_03541797,dried apricots (efsa foodex2),A01MD,True
Dried basil,http://purl.obolibrary.org/obo/FOODON_03541263,"basil, dry (efsa foodex2)",A016Y,True
Duck,http://purl.obolibrary.org/obo/FOODON_03541969,duck fresh meat (efsa foodex2),A01SR,True
Edam,http://purl.obolibrary.org/obo/FOODON_03542814,"cheese, edam (efsa foodex2)",A02TV,True
Edamame bean,http://purl.obolibrary.org/obo/FOODON_03540611,soyabeans (with pods) (efsa foodex2),A0DFR,True
Egg,http://purl.obolibrary.org/obo/FOODON_03542950,whole eggs (efsa foodex2),A031F,True
Egg pasta,http://purl.obolibrary.org/obo/FOODON_03540179,fresh egg pasta (efsa foodex2),A007G,True
