food,foodon_iri,foodex_iri,foodex_embed_avail
efsa food classification and description system for exposure assessment (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03401895,A1895,False
00010 - grains and grain-based products (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540001,A000J,False
00020 - cereals and cereal primary derivatives (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540002,A000K,False
00030 - cereal grains (and cereal-like grains) (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540003,A000L,True
00040 - mixture of grains (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540004,A001X,True
00050 - barley and similar- (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540005,A0D9Y,True
00060 - barley grains (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540006,A000P,True
"00070 - barley grain, pearled (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540007,A002K,True
00080 - buckwheat and other pseudo-cereals and similar- (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540008,A04KH,True
00090 - buckwheat (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540009,A000N,True
00100 - amaranth grains (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540010,A000M,True
00110 - foxtail amaranth grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540011,A0D9X,True
00120 - red amaranth grains (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540012,A0D9V,True
00130 - prince of wales-feather amaranth grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540013,A0D9T,True
00140 - kaniwa grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540014,A000Q,True
00150 - quinoa grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540015,A000R,True
00160 - common millet and similar- (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540016,A000Y,True
00170 - common millet grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540017,A001B,True
00180 - black fonio grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540018,A0CGK,True
00190 - canary grass grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540019,A0BJZ,True
00200 - finger millet grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540020,A000B,True
00210 - african millet grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540021,A000C,True
00220 - foxtail millet grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540022,A000D,True
00230 - job's tears grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540023,A002A,True
00240 - little millet grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540024,A000E,True
00250 - pearl millet grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540025,A001A,True
00260 - teff grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540026,A000A,True
00270 - white fonio grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540027,A001Z,True
00280 - barnyard millet (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540028,A000Z,True
00290 - maize and similar- (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540029,A000S,True
00300 - popcorn kernels (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540030,A000V,True
00310 - teosinte grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540031,A000X,True
00320 - maize grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540032,A000T,True
00330 - indian corn grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540033,A0D9S,True
00340 - oat and similar- (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540034,A000F,True
00350 - oat grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540035,A000G,True
"00360 - oat grain, red (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540036,A000H,True
00370 - rice and similar- (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540037,A001C,True
00380 - rice grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540038,A001D,True
"00390 - rice grain, brown (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540039,A001E,True
"00400 - rice grain, long-grain (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540040,A001F,True
"00410 - rice grain, mixed (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540041,A001G,True
"00420 - rice grain, red (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540042,A001H,True
"00430 - rice grain, polished (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540043,A003D,True
"00440 - rice grain, parboiled (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540044,A003E,True
"00450 - rice grain, glutinous (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540045,A0F6M,True
00460 - african rice grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540046,A0CGL,True
00470 - hybrid nerica® (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540047,A0CGM,True
00480 - indian rice grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540048,A001J,True
00490 - rye and similar- (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540049,A0D9R,True
00500 - rye grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540050,A001K,True
00510 - sorghum and similar- (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540051,A0D9Q,True
00520 - sorghum grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540052,A001L,True
00530 - durra grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540053,A0D9P,True
00540 - sudan grass grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540054,A0D9N,True
"00550 - other species of genus sorghum, not elsewhere mentioned (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540055,A0D9M,True
00560 - wheat and similar- (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540056,A001M,True
00570 - common wheat grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540057,A001N,True
00580 - durum wheat grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540058,A001P,True
00590 - emmer wheat grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540059,A001Q,True
00600 - khorasan wheat grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540060,A001T,True
00610 - einkorn wheat grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540061,A001S,True
00620 - spelt grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540062,A001R,True
00630 - triticale grain (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540063,A001V,True
"00640 - other species of genus triticum, not elsewhere mentioned (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540064,A0D9K,True
00650 - cereals and cereal-like grains not separately listed (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540065,A04KR,False
00660 - other cereals (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540066,A001Y,True
00670 - cereal and cereal-like flours (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540067,A04KS,True
00680 - flour mix (like wheat/rye/barley/oats and other) (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540068,A004S,True
00690 - amaranth flour (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540069,A002E,True
00700 - barley flour (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540070,A002L,True
00710 - buckwheat flour (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540071,A002G,True
"00720 - maize, milled (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540072,A0C0Z,True
00730 - maize flour (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540073,A002Q,True
00740 - maize meal (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540074,A002P,True
00750 - millet flour (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540075,A002T,True
00760 - oat flour (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540076,A002Y,True
00770 - rice flour (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540077,A003F,True
00780 - rye flour (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540078,A003J,True
"00790 - rye flour, refined (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540079,A003K,True
"00800 - rye flour, medium (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540080,A003L,True
"00810 - rye flour, wholemeal (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540081,A003M,True
"00820 - rye flour, gluten free (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540082,A003N,True
00830 - sorghum flour (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540083,A003T,True
00840 - spelt flour (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540084,A004H,True
"00850 - spelt flour, refined (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540085,A004J,True
"00860 - spelt flour, medium (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540086,A004K,True
"00870 - spelt flour, wholemeal (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03540087,A004L,True
00880 - wheat flour (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540088,A003X,True
00890 - wheat flour white (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540089,A003Y,True
00900 - graham flour (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540090,A003Z,True
